,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,xA,xB,xC,xD,xE,xF
0x,BRK,ORA,COP,ORA,TSB,ORA,ASL,ORA,PHP,ORA,ASL,PHD,TSB,ORA,ASL,ORA
1x,BPL,ORA,ORA,ORA,TRB,ORA,ASL,ORA,CLC,ORA,INC,TCS,TRB,ORA,ASL,ORA
2x,JSR,AND,JSL,AND,BIT,AND,ROL,AND,PLP,AND,ROL,PLD,BIT,AND,ROL,AND
3x,BMI,AND,AND,AND,BIT,AND,ROL,AND,SEC,AND,DEC,TSC,BIT,AND,ROL,AND
4x,RTI,EOR,WDM,EOR,MVP,EOR,LSR,EOR,PHA,EOR,LSR,PHK,JMP,EOR,LSR,EOR
5x,BVC,EOR,EOR,EOR,MVN,EOR,LSR,EOR,CLI,EOR,PHY,TCD,JMP,EOR,LSR,EOR
6x,RTS,ADC,PER,ADC,STZ,ADC,ROR,ADC,PLA,ADC,ROR,RTL,JMP,ADC,ROR,ADC
7x,BVS,ADC,ADC,ADC,STZ,ADC,ROR,ADC,SEI,ADC,PLY,TDC,JMP,ADC,ROR,ADC
8x,BRA,STA,BRL,STA,STY,STA,STX,STA,DEY,BIT,TXA,PHB,STY,STA,STX,STA
9x,BCC,STA,STA,STA,STY,STA,STX,STA,TYA,STA,TXS,TXY,STZ,STA,STZ,STA
Ax,LDY,LDA,LDX,LDA,LDY,LDA,LDX,LDA,TAY,LDA,TAX,PLB,LDY,LDA,LDX,LDA
Bx,BCS,LDA,LDA,LDA,LDY,LDA,LDX,LDA,CLV,LDA,TSX,TYX,LDY,LDA,LDX,LDA
Cx,CPY,CMP,REP,CMP,CPY,CMP,DEC,CMP,INY,CMP,DEX,WAI,CPY,CMP,DEC,CMP
Dx,BNE,CMP,CMP,CMP,PEI,CMP,DEC,CMP,CLD,CMP,PHX,STP,JML,CMP,DEC,CMP
Ex,CPX,SBC,SEP,SBC,CPX,SBC,INC,SBC,INX,SBC,NOP,XBA,CPX,SBC,INC,SBC
Fx,BEQ,SBC,SBC,SBC,PEA,SBC,INC,SBC,SED,SBC,PLX,XCE,JSR,SBC,INC,SBC
